index,title,url,press,date,keyword,content,filtered,Scraped_date
0,[히스토리.zip] ⑩韓 건설사에 새로운 지평 연 '포스코이앤씨',https://www.kgnews.co.kr/news/article.html?no=774492,경기신문,3일 전,포스코 수소 투자계획 해외,"3월 ‘포스코이앤씨’로 거듭나 탄소 저감·그린에너지 인프라 구축해서 스마트 기술로 친환경 도시 건설하고 2030년까지 2차전지에 56조 투자 계획... 국내 기업들의 본격적인 해외 진출에 선봉이었고, 개발도상국 시절 외화를 벌어들이는 주요 창구기도 했다. 현재 대한민국의 대표 주거 형태이자 각...",success,2023-12-21
1,"포스코그룹, 대한민국 지속가능성 대회 역대 최다 수상 쾌거",http://www.snmnews.com/news/articleView.html?idxno=526514,철강금속신문,3주 전,포스코 수소 투자계획 해외,"포스코는 저탄소 친환경 시대로의 전환을 맞아 전기로 신설, HyREX(포스코형 수소환원제철 기술) 시험설비 도입 등의 투자계획이 담긴 탄소중립 로드맵을 공개하고 올해 탄소 저감 제품 Greenate certified steelTM(그리닛 서티파이드 스틸TM) 을 출시했다. 또한 ESG 공시 의무화에 대비해 주요 사업장의...",fail,2023-12-21
2,"전 세계, 그린 수소 생산에 속도…2년만에 “100배 이상” 투자 확대",http://www.g-enews.com/ko-kr/news/article/news_all/20231123071429359437926aa152_1/article.html,글로벌이코노믹,4주 전,포스코 수소 투자계획 해외,"한국전력공사와 SK E&S는 각각 2025년까지 10GW 규모의 수전해 설비를 구축할 계획이며, 포스코와 현대자동차 등 대기업들도 생산 투자를 확대하고 있다. 한국은 해외에서도 그린 수소 생산을 위한 투자를 확대하고 있다. 2022년 10월에 호주와 공동으로 ‘그린 협력 MOU’를 체결했다. 호주는 풍력과...",success,2023-12-21
3,"경북도, 투자유치 대상에 SK스페셜티 수상",https://tk.newdaily.co.kr/site/data/html/2023/12/20/2023122000289.html,뉴데일리,17시간 전,포스코 수소 투자계획 해외,"설비 투자를 계획 중에 있다. 보백씨엔에스는 올해 경북도, 구미시와 이차전지용 절연제 제품개발 및 양산에 관한 1000억 원 투자양해각서(MOU)를 체결한... 시군 부문 대상은 한 해 동안 총 8조9000억 원의 투자 실적을 끌어내고 특히 CNGR, 화유코발트, 퓨처엠, 에코프로 등 이차전지 분야 대표 기업...",success,2023-12-21
4,2023 경상북도 투자유치대상에 SK스페셜티,https://www.hankyung.com/article/202312195143h,한국경제,2일 전,포스코 수소 투자계획 해외,"설비 투자를 계획 중이다. 보백씨엔에스는 올해 경북도, 구미시와 이차전지용 절연제 제품개발 및 양산에 관한 1,000억원 투자양해각서(MOU)를 체결한... 시군 부문 대상은 한 해 동안 총 8조 9000억원의 투자 실적을 끌어내고 특히 CNGR, 화유코발트, 포스코퓨처엠, 에코프로 등 이차전지 분야의 대표 기업...",success,2023-12-21
5,"(르포) 아픔 딛고 일어선 포항제철소, 수소로 철을 만드는 꿈의 제철소로 거듭난다",http://www.snmnews.com/news/articleView.html?idxno=526066,철강금속신문,2023.11.20.,포스코 수소 투자계획 해외,"위해 수소환원제철 상용화 기술 개발에 전념하고 있다. 포스코의 수소환원제철 기술은 하이렉스(HyREX)로 명명돼 해외 철강사와는 다른 발걸음으로... 포스코 관계자는 ""포항제철소는 2028년 수소환원제철 데모플랜트, 2030년부터 상업화플랜트 를 하고 있다""라고 설명했다. 포항제철소 방문에 이어...",fail,2023-12-21
6,“탄소중립은 제2의 창업” 장세환 포스코 탄소중립전략그룹장,https://view.asiae.co.kr/article/2023102012582737336,아시아경제,2023.10.20.,포스코 수소 투자계획 해외,"포스코는 2026년까지 30만t 규모의 수소환원제철 파일럿 설비 투자를 추진 중이다. 단계적으로 100만t, 250만t으로 확대할 계획이다. 수소 가열 등 추가... 무거운 책임감으로 시작했습니다.” -해외 선진 철강업체들은 탄소중립 준비 잘하고 있나. ▲작년 7월 2주 정도 유럽 등 경쟁사 동향과 진행을...",fail,2023-12-21
7,"포항시의회, 포스코 미래연 수도권 분원 설치에 ""우려"" 표명",https://www.polinews.co.kr/news/articleView.html?idxno=625206,폴리뉴스,2023.11.16.,포스코 수소 투자계획 해외,"금액을 투자해 설립하겠다는 계획이다. 포스코 측에 따르면 수도권 분원은 우수 대학 및 연구기관, 미국 실리콘밸리 등 해외 연구 거점과의 협업을 통해... 아울러, ""지금 포항은 이차전지와 수소, AI, 바이오 등 미래 신산업을 바탕으로 첨단전략산업도시로 거듭나고 있으며 이는 홀딩스가 출범하며 강조한...",fail,2023-12-21
8,"포스코홀딩스, 미래기술연구원 성남 분원 설립 확정…포항 정치권 등 반발",https://www.yeongnam.com/web/view.php?key=20231115010002111,영남일보,2023.11.15.,포스코 수소 투자계획 해외,"대한 투자 계획과 상생 비전을 즉각 제시하라""고 밝혔다. 이와 관련 포스코 측은 ""포스코그룹 R&D 컨트롤타워 역할을 수행하는 포항 본원 기능은 변함이 없으며, 수도권 분원설치로 포항-광양-수도권(성남)-해외를 연결해 미래 핵심사업 기술 개발을 위한 연구 허브를 구축할 것""이라고 해명했다. 이어 ""포항 본원은...",success,2023-12-21
9,수소산업 성장-탄소중립 ‘두 마리 토끼’ 잡아야 수소경제 산다,https://www.hani.co.kr/arti/economy/economy_general/1115047.html,한겨레,2023.11.06.,포스코 수소 투자계획 해외,한국은 물론 미국·유럽 등 선진국들이 경쟁적으로 수소경제 구축을 위해 막대한 규모의 투자계획을 세우는 이유다. 하지만 수소시장은 아직 미성숙... 원천기술은 해외 의존도가 높다”고 지적했다. ■ 핑크수소-포스코 연계 아이디어 그린는 태양광과 풍력과 같은 재생에너지에서 생산된 전기로 물을...,fail,2023-12-21
